Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
5.98	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13	-2.754E-13
6.11	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13	-2.753288E-13
6.24	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13	-2.752614E-13
6.37	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13	-2.751976E-13
6.5	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13	-2.751372E-13
6.63	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13	-2.7508E-13
6.76	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13	-2.750259E-13
6.89	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13	-2.749746E-13
7.02	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13	-2.749261E-13
7.15	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13	-2.748802E-13
7.28	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13	-2.748367E-13
7.41	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13	-2.747956E-13
7.54	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13	-2.747567E-13
7.67	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13	-2.747198E-13
7.8	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13	-2.746849E-13
7.93	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13	-2.746519E-13
8.06	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13	-2.746206E-13
8.19	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13	-2.74591E-13
8.32	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13	-2.74563E-13
8.45	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13	-2.745364E-13
